PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,29,29,29,29,29,29,29,29,29,29
1,0.0,19,19,19,19,19,19,19,19,19,19
2,0.0,21,21,21,21,21,21,21,21,21,21
3,0.0,5,5,5,5,5,5,5,5,5,5
4,0.0,6,6,6,6,6,6,6,6,6,6
5,0.0,6,6,6,6,6,6,6,6,6,6
6,0.0,4,4,4,4,4,4,4,4,4,4
7,0.0,2,2,2,2,2,2,2,2,2,2
8,0.0,3,3,3,3,3,3,3,3,3,3
9,0.0,2,2,2,2,2,2,2,2,2,2
10,0.0,2,2,2,2,2,2,2,2,2,2
11,0.0,1,1,1,1,1,1,1,1,1,1
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
